"17:30","half~past~five","#CLO","/net/gsb/pmb/out/p80/d1465"
"will","'ll","#FUT","/net/gsb/pmb/out/p89/d0770"
"08:10","8:10~a.m.","#CLO","/net/gsb/pmb/out/p89/d0775"
"will","'ll","#FUT","/net/gsb/pmb/out/p89/d0785"
"will","'ll","#FUT","/net/gsb/pmb/out/p89/d0823"
"will","'ll","#FUT","/net/gsb/pmb/out/p89/d0934"
"21:00","7:00~p.m.","#CLO","/net/gsb/pmb/out/p89/d2505"
"will","'ll","#FUT","/net/gsb/pmb/out/p90/d0787"
"will","'ll","#FUT","/net/gsb/pmb/out/p90/d0859"
"will","'ll","#FUT","/net/gsb/pmb/out/p90/d0871"
"07:15","7:15~a.m.","#CLO","/net/gsb/pmb/out/p90/d2704"
"6:00","six~a.m.","#CLO","/net/gsb/pmb/out/p90/d2854"
"06:00","six~a.m.","#CLO","/net/gsb/pmb/out/p90/d2854"
"will","'ll","#FUT","/net/gsb/pmb/out/p91/d0875"
"because","None","#None","/net/gsb/pmb/out/p91/d0881"
"02:30","2:30","#CLO","/net/gsb/pmb/out/p91/d2761"
"23:00","11:30~p.m","#CLO","/net/gsb/pmb/out/p91/d2834"
"23:30","11:30~p.m","#CLO","/net/gsb/pmb/out/p91/d2834"
"05:30","5:30~a.m.","#CLO","/net/gsb/pmb/out/p91/d3488"
"will","'ll","#FUT","/net/gsb/pmb/out/p92/d0794"
"will","’ll","#NOW","/net/gsb/pmb/out/p92/d0870"
"degree~celsius","degrees","#UOM","/net/gsb/pmb/out/p92/d2421"
"will","'ll","#FUT","/net/gsb/pmb/out/p93/d0870"
"degree~celsius","degrees~Celsius","#UOM","/net/gsb/pmb/out/p93/d0954"
"01:00","1~a.m.","#CLO","/net/gsb/pmb/out/p93/d1236"
"15:00","None","#None","/net/gsb/pmb/out/p93/d1918"
"15:00","None","#None","/net/gsb/pmb/out/p93/d1918"
"02:30.","2:30~a.m.","#CLO","/net/gsb/pmb/out/p93/d2518"
"will","'ll","#FUT","/net/gsb/pmb/out/p94/d0771"
"will","'ll","#FUT","/net/gsb/pmb/out/p94/d0880"
"will","'ll","#FUT","/net/gsb/pmb/out/p94/d0888"
"will","'ll","#FUT","/net/gsb/pmb/out/p94/d0940"
"will","'ll","#FUT","/net/gsb/pmb/out/p95/d0857"
"will","'ll","#FUT","/net/gsb/pmb/out/p95/d0859"
"will","'ll","#FUT","/net/gsb/pmb/out/p95/d0944"
"will","'ll","#FUT","/net/gsb/pmb/out/p95/d0959"
"17:00","5~p.m.","#CLO","/net/gsb/pmb/out/p95/d3578"
"will","'ll","#FUT","/net/gsb/pmb/out/p96/d0772"
"will","'ll","#FUT","/net/gsb/pmb/out/p96/d0880"
"will","'ll","#FUT","/net/gsb/pmb/out/p96/d0905"
"degree~centigrade","degrees~centigrade","#UOM","/net/gsb/pmb/out/p96/d1184"
"degree~celsius","degrees~centigrade","#UOM","/net/gsb/pmb/out/p96/d1184"
"degree~fahrenheit","degrees~Fahrenheit","#UOM","/net/gsb/pmb/out/p96/d1449"
"degree~centigrade","degrees~centigrade","#UOM","/net/gsb/pmb/out/p96/d1449"
"95","ninety-five","#QUC","/net/gsb/pmb/out/p96/d1449"
"35","Thirty-five","#QUC","/net/gsb/pmb/out/p96/d1449"
"degree~celsius","degrees~centigrade","#UOM","/net/gsb/pmb/out/p96/d1449"
"18:30","6:30~p.m.","#CLO","/net/gsb/pmb/out/p96/d2620"
"15:00","3~p.m.","#CLO","/net/gsb/pmb/out/p96/d3353"
"will","'ll","#FUT","/net/gsb/pmb/out/p97/d0887"
"08:00","8~o'clock","#CLO","/net/gsb/pmb/out/p97/d2785"
"will","'ll","#FUT","/net/gsb/pmb/out/p98/d0809"
"will","'ll","#FUT","/net/gsb/pmb/out/p98/d0810"
"will","'ll","#FUT","/net/gsb/pmb/out/p98/d0925"
"los~angeles","LA","#GPE","/net/gsb/pmb/out/p98/d1869"
"10:30","half~past~ten","#CLO","/net/gsb/pmb/out/p98/d2273"
"02:30","half~past~two","#CLO","/net/gsb/pmb/out/p98/d2796"
"will","'ll","#FUT","/net/gsb/pmb/out/p99/d0823"
"14:30","2:30","#CLO","/net/gsb/pmb/out/p99/d2880"
"17:00","5:00","#CLO","/net/gsb/pmb/out/p99/d2880"
